Today	Hôm nay
Unseen	Chưa xem
Not seen recently	Lâu chưa xem
Readest only	Chỉ Reades
Physical books only	Chỉ sách giấy
All eligible notes	Mọi ghi chú phù hợp
Current book	Sách hiện tại
Resume	Tiếp tục
Pause	Tạm dừng
READING NOW	ĐANG ĐỌC
Select a book	Chọn sách
No active session	Chưa có phiên đọc
Choose a physical book to begin.	Chọn một cuốn sách giấy để bắt đầu.
Choose a physical book.	Hãy chọn sách giấy.
Your physical-reading data is stored locally.	Dữ liệu đọc sách giấy được lưu trên máy.
Search by title, author, or ISBN.	Tìm theo tên sách, tác giả hoặc ISBN.
Search by title, author, or ISBN, or enter details manually.	Tìm theo tên sách, tác giả, ISBN hoặc tự nhập thông tin.
Update the metadata for this physical edition.	Cập nhật thông tin cho bản sách giấy này.
Searching Google Books and Open Library…	Đang tìm trên Google Books và Open Library…
Book search is unavailable. Check your connection or enter the book manually.	Không tìm sách được. Kiểm tra kết nối hoặc tự nhập sách.
Enter a book title.	Hãy nhập tên sách.
Total pages must be a positive whole number.	Tổng số trang phải là số nguyên dương.
Goodreads link must be a complete web address.	Liên kết Goodreads phải là địa chỉ web đầy đủ.
This book is no longer available.	Sách này không còn trong thư viện.
That edition is already in your physical library.	Bản sách này đã có trong thư viện sách giấy.
Session resumed.	Đã tiếp tục phiên đọc.
Session paused.	Đã tạm dừng phiên đọc.
Timer stopped · confirm the last page you reached.	Đã dừng giờ · xác nhận trang bạn đã đọc đến.
Session remains paused. Resume when you are ready.	Phiên vẫn tạm dừng. Tiếp tục khi bạn sẵn sàng.
Start page must be a positive whole number.	Trang bắt đầu phải là số nguyên dương.
Enter the last page you reached.	Hãy nhập trang bạn đã đọc đến.
End page cannot be before the start page.	Trang kết thúc không được nhỏ hơn trang bắt đầu.
End page cannot exceed {0}.	Trang kết thúc không được vượt quá {0}.
The session is too short to save.	Phiên đọc quá ngắn để lưu.
Active session discarded.	Đã hủy phiên đang đọc.
Manual session deleted.	Đã xóa phiên thủ công.
Deleted session restored.	Đã khôi phục phiên bị xóa.
Deleted book and sessions restored.	Đã khôi phục sách và các phiên bị xóa.
Finish or discard the active session before deleting this book.	Kết thúc hoặc hủy phiên đang đọc trước khi xóa sách này.
The most recent library change was restored.	Đã hoàn tác thay đổi thư viện gần nhất.
Book restored to the physical library.	Đã khôi phục sách vào thư viện sách giấy.
Book archived; its sessions remain in statistics.	Đã lưu trữ sách; các phiên đọc vẫn được tính vào thống kê.
Duplicate editions merged; all sessions were preserved.	Đã gộp các bản sách trùng và giữ lại mọi phiên đọc.
Timer paused after sleep or a long system interruption; inactive time was excluded.	Đã tạm dừng sau khi máy ngủ hoặc gián đoạn lâu; thời gian không hoạt động không được tính.
Recovered and paused the timer; time while the app was closed was excluded.	Đã khôi phục và tạm dừng bộ đếm; không tính thời gian ứng dụng đã đóng.
Recovered a paused manual session.	Đã khôi phục phiên thủ công đang tạm dừng.
Recovered a running manual session.	Đã khôi phục phiên thủ công đang chạy.
Could not open the metadata page.	Không mở được trang thông tin sách.
Past reading session added.	Đã thêm phiên đọc trước đây.
Manual session updated.	Đã cập nhật phiên thủ công.
The last import was undone.	Đã hoàn tác lần nhập gần nhất.
Physical edition not found.	Không tìm thấy bản sách giấy.
No matching metadata was found.	Không tìm thấy thông tin phù hợp.
Metadata refreshed; your existing edits were preserved.	Đã cập nhật thông tin và giữ lại các chỉnh sửa của bạn.
Duration must be between 1 minute and 24 hours.	Thời lượng phải từ 1 phút đến 24 giờ.
Enter a valid start and end page.	Hãy nhập trang bắt đầu và kết thúc hợp lệ.
Enter a valid date and start time.	Hãy nhập ngày và giờ bắt đầu hợp lệ.
Duration and pages must be numbers.	Thời lượng và số trang phải là số.
This overlaps another manual session for {0}. Edit the times before saving.	Phiên này trùng thời gian với phiên của {0}. Chỉnh thời gian trước khi lưu.
Saved {0} · {1} pages.	Đã lưu {0} · {1} trang.
{0} physical books · {1} manual sessions	{0} sách giấy · {1} phiên thủ công
{0} physical book · {1} manual session	{0} sách giấy · {1} phiên thủ công
{0} physical book · {1} manual sessions	{0} sách giấy · {1} phiên thủ công
{0} physical books · {1} manual session	{0} sách giấy · {1} phiên thủ công
{0} / {1} pages · {2}%	{0} / {1} trang · {2}%
Page {0} · total pages unknown	Trang {0} · chưa biết tổng số trang
Page {0}	Trang {0}
{0} pages	{0} trang
{0} days	{0} ngày
{0} day	{0} ngày
{0} notes	{0} ghi chú
{0} note	{0} ghi chú
Best: {0} days	Dài nhất: {0} ngày
Best: {0} day	Dài nhất: {0} ngày
{0} total · {1}/day	Tổng {0} · {1}/ngày
{0} active days of {1} eligible days	{0} ngày đọc trên {1} ngày có dữ liệu
{0} active day of {1} eligible day	{0} ngày đọc trên {1} ngày có dữ liệu
No eligible days	Chưa có ngày đủ điều kiện
No active book	Chưa có sách đang đọc
No reading in this period.	Chưa đọc trong kỳ này.
No reading activity this month.	Chưa có hoạt động đọc trong tháng này.
No activity in this period.	Chưa có hoạt động trong kỳ này.
No activity	Không có hoạt động
Comparison off	Đã tắt so sánh
Select a valid comparison range	Chọn khoảng so sánh hợp lệ
No reading in comparison period	Không có hoạt động đọc trong kỳ so sánh
Enter a valid start and end date for comparison.	Nhập ngày bắt đầu và kết thúc hợp lệ để so sánh.
Solid: selected period · Dashed: {0} · aligned by bucket order	Nét liền: kỳ đã chọn · nét đứt: {0} · ghép theo thứ tự mốc
Comparison: {0} · Different period lengths; totals and exact data are available below.	So sánh: {0} · Hai kỳ dài khác nhau; xem tổng và số liệu chính xác bên dưới.
Peak · {0}	Cao nhất · {0}
Readest connected	Đã kết nối Reades
Not synced	Chưa đồng bộ
Last sync {0}	Đồng bộ lúc {0}
Finding Readest data…	Đang tìm dữ liệu Readest…
Finding Readest data...	Đang tìm dữ liệu Readest…
Manual library ready	Thư viện sách giấy đã sẵn sàng
No Readest data found	Chưa tìm thấy dữ liệu Reades
Readest data was not found. Manual log remains available; choose statistics.db to connect digital reading.	Chưa tìm thấy dữ liệu Readest. Bạn vẫn có thể ghi thủ công; chọn statistics.db để kết nối dữ liệu đọc điện tử.
Incompatible database	Dữ liệu không tương thích
Loading Readest activity…	Đang tải hoạt động Readest…
Connection failed	Kết nối thất bại
Last good data retained	Đang giữ dữ liệu hợp lệ gần nhấ
Could not refresh Readest data. {0}	Không làm mới được dữ liệu Readest. {0}
Readest data was not found.	Không tìm thấy dữ liệu Readest.
Readest notes are stored locally and never modified.	Ghi chú Readest được đọc trên máy và không bị chỉnh sửa.
Note settings saved locally.	Đã lưu tùy chỉnh ghi chú trên máy.
Note copied to clipboard.	Đã sao chép ghi chú.
Note and citation copied to clipboard.	Đã sao chép ghi chú và nguồn sách.
That physical-session note no longer exists.	Ghi chú của phiên sách giấy này không còn tồn tại.
Could not save note settings. {0}	Không lưu được tùy chỉnh ghi chú. {0}
Refreshing local Readest notes…	Đang làm mới ghi chú Readest trên máy…
Could not refresh notes. {0}	Không làm mới được ghi chú. {0}
Opened the physical book details.	Đã mở thông tin sách giấy.
The original book file is not available in the Readest library.	Tệp sách gốc không có trong thư viện Readest.
Readest could not be opened. {0}	Không mở được Readest. {0}
No local Readest notes found.	Chưa tìm thấy ghi chú Readest trên máy.
No metadata page was saved for this physical edition.	Chưa lưu trang thông tin cho bản sách giấy này.
The book information page could not be opened. {0}	Không mở được trang thông tin sách. {0}
Could not find this book in the local Readest library.	Không tìm thấy sách này trong thư viện Readest trên máy.
Book editions unlinked.	Đã bỏ liên kết các bản sách.
Refreshing book metadata…	Đang cập nhật thông tin sách…
Metadata refresh failed: {0}	Cập nhật thông tin thất bại: {0}
Import canceled; no data was changed.	Đã hủy nhập; dữ liệu chưa thay đổi.
Library import failed: {0}	Nhập thư viện thất bại: {0}
Today's plan was skipped; history remains intact.	Đã bỏ qua kế hoạch hôm nay; lịch sử được giữ nguyên.
Reading plan saved	Đã lưu kế hoạch đọc
Reading plan removed	Đã xóa kế hoạch đọc
Could not save the book status. {0}	Không lưu được trạng thái sách. {0}
Checking GitHub releases…	Đang kiểm tra bản phát hành trên GitHub…
Could not check for updates. Check your internet connection.	Không kiểm tra được cập nhật. Hãy kiểm tra kết nối mạng.
Not checked yet	Chưa kiểm tra
Settings saved	Đã lưu cài đặ
Goals saved	Đã lưu mục tiêu
Complete backup created · settings, goals, physical books, sessions and notes included	Đã sao lưu đầy đủ cài đặt, mục tiêu, sách giấy, phiên đọc và ghi chú
Backup created · {0}	Đã tạo bản sao lưu · {0}
Backup failed: {0}	Sao lưu thất bại: {0}
Backup restored successfully	Đã khôi phục bản sao lưu
Backup restore failed: {0}	Khôi phục thất bại: {0}
Backup deleted	Đã xóa bản sao lưu
Backup could not be deleted: {0}	Không xóa được bản sao lưu: {0}
Backup could not be opened: {0}	Không mở được bản sao lưu: {0}
App-owned settings reset	Đã đặt lại cài đặt ứng dụng
Finish the active session and wait for refresh before restoring a backup.	Kết thúc phiên đang đọc và đợi làm mới xong trước khi khôi phục.
Pin book	Ghim sách
Unpin book	Bỏ ghim sách
View book info	Xem thông tin sách
Linked Readest + physical edition	Đã liên kết Readest và sách giấy
No matching edition found	Chưa tìm thấy bản sách phù hợp
Link with {0} ({1})	Liên kết với {0} ({1})
Resume plan	Tiếp tục kế hoạch
Pause plan	Tạm dừng kế hoạch
Approximate · enabled	Ước tính · đang bậ
Approximate · hidden	Ước tính · đang ẩn
Development build	Bản phát triển
Unknown	Chưa biế
Annotation	Chú thích
Bookmark	Đánh dấu trang
Exclude from random	Loại khỏi ngẫu nhiên
Include in random	Cho phép ngẫu nhiên
Source connection	Kết nối nguồn
Book mapping	Liên kết hoạt động với sách
Event timestamps	Thời gian hoạt động
Event duration	Thời lượng hoạt động
Duplicate activity	Hoạt động trùng
Local book files	Tệp sách trên máy
Activity freshness	Mức cập nhật hoạt động
Readest Stats database	Dữ liệu Readest Stats
Readest note files	Tệp ghi chú Reades
Edition links	Liên kết bản sách
Manual session timeline	Dòng thời gian phiên thủ công
Physical page ranges	Phạm vi trang sách giấy
Duplicate physical editions	Bản sách giấy trùng
Complete backup	Sao lưu đầy đủ
Open book	Mở sách
Edit session	Sửa phiên
Review duplicates	Xem sách trùng
Open activity	Mở hoạt động
Create backup	Tạo bản sao lưu
Open notes	Mở ghi chú
Title or author is missing.	Thiếu tên sách hoặc tác giả.
Overlaps another session for this book.	Trùng thời gian với phiên khác của sách này.
The local Readest book file is unavailable.	Tệp sách Readest trên máy không có sẵn.
Unresolved edition link	Liên kết bản sách không còn hợp lệ
Backup history	Lịch sử sao lưu
Create or inspect a complete backup below.	Tạo hoặc kiểm tra bản sao lưu đầy đủ ở bên dưới.
Check the source diagnostics and refresh after Readest finishes saving.	Kiểm tra chẩn đoán nguồn và làm mới sau khi Readest lưu xong.
Readest connection	Kết nối Reades
Select the Readest statistics database below.	Chọn dữ liệu thống kê Readest ở bên dưới.
Merge physical editions	Gộp các bản sách giấy
Choose duplicate editions to review.	Chọn các bản sách trùng để kiểm tra.
Keep: {0} · {1}\nMove {2} sessions from {3} other edition(s). Existing metadata is kept; missing page count, cover, ISBN, publisher and publication date are filled. Plans, pins and edition links follow the retained book. Undo is available in Activity log.	Giữ: {0} · {1}\nChuyển {2} phiên từ {3} bản sách khác. Giữ thông tin hiện có; bổ sung số trang, bìa, ISBN, nhà xuất bản và ngày xuất bản còn thiếu. Kế hoạch, ghim và liên kết theo sách được giữ. Có thể hoàn tác trong lịch sử thay đổi.
Restore Readest Stats backup	Khôi phục dữ liệu Readest Stats
Restore {0}?\n\nCurrent app-owned data will be kept as recovery copies.	Khôi phục {0}?\n\nDữ liệu hiện tại của ứng dụng sẽ được giữ trong bản dự phòng.
Delete backup	Xóa bản sao lưu
Delete {0}?	Xóa {0}?
Delete the {0} session for {1}?	Xóa phiên {0} của sách {1}?
Delete {0} and all of its manual sessions?	Xóa {0} và mọi phiên đọc thủ công của sách này?
Discard the active manual session? Its elapsed time will not be saved.	Hủy phiên thủ công đang đọc? Thời gian đã đọc sẽ không được lưu.
Reset Readest Stats settings and goals? Readest data will not be changed.	Đặt lại cài đặt và mục tiêu Readest Stats? Dữ liệu Readest không thay đổi.
Export private notes	Xuất ghi chú cá nhân
Comparison	So sánh
Less	Í
More	Nhiều
30 days ago	30 ngày trước
READING	ĐANG ĐỌC
NO ACTIVITY	CHƯA CÓ HOẠT ĐỘNG
{0}% of eligible days	{0}% số ngày có dữ liệu
Median {0}	Trung vị {0}
Current run started {0} · {1} of 30 days active	Chuỗi hiện tại bắt đầu {0} · Đọc {1}/30 ngày
{0} here · {1} of selected-period reading	{0} trong khung giờ này · {1} thời gian đọc của kỳ đã chọn
{0} started here · {1} of selected-period sessions	{0} bắt đầu tại đây · {1} số phiên của kỳ đã chọn
{0} individual sessions	{0} phiên riêng lẻ
{0} sessions · grouped distribution	{0} phiên · Phân bố theo nhóm
sessions →	Số phiên →
longer ↑	Dài hơn ↑
100% of reading time	100% thời gian đọc
earlier	Trước đây
actual —  required - -	Thực tế —  Cần đạt - -
No matrix data in this period	Chưa có dữ liệu ma trận trong kỳ này
No sessions on this day	Không có phiên đọc trong ngày này
No sessions in this period	Không có phiên đọc trong kỳ này
At least 4 active days are needed for a style map	Cần ít nhất 4 ngày đọc để hiển thị bản đồ thói quen
No book attention to divide yet	Chưa có thời gian đọc để phân bổ theo sách
No comparison available	Chưa có dữ liệu so sánh
More calendar observations are needed for momentum	Cần thêm dữ liệu theo ngày để tính nhịp đọc
No sessions to accumulate	Chưa có phiên đọc để cộng dồn
Set a yearly target to see pace	Đặt mục tiêu năm để theo dõi tiến độ
No active days this year	Chưa có ngày đọc trong năm này
Peak · {0}	Cao nhất · {0}
{0}h total	Tổng {0}h
Actual {0}	Thực tế {0}
Target {0}	Mục tiêu {0}
Export {0}? The file includes highlights, Readest notes, personal notes and favorite status in plain text.	Xuất {0}? Tệp chứa đoạn tô sáng, ghi chú Readest, ghi chú cá nhân và trạng thái yêu thích ở dạng văn bản.
Readest Stats could not start. See the diagnostic log for details.\n\n{0}	Readest Stats không khởi động được. Xem nhật ký chẩn đoán để biết chi tiết.\n\n{0}
